HOUSEID,NUMADLT,HHVEHCNT,HHFAMINC,URBAN,HOMETYPE,HOMEOWN,WTHHFIN,DRVRCNT,HHSIZE,VMT,VEH_PER_ADULT,INCOME_PER_VEHICLE
9000013002,2,2,11,1,1,1,4621.75800248184,2,4,12000.0,1.0,5.5
9000013016,2,1,7,1,3,3,2982.99840700777,2,2,10000.0,0.5,7.0
9000013026,1,0,10,1,3,3,9979.57340150213,1,1,0.0,0.0,10.0
9000013039,2,1,7,1,3,3,10355.8907350813,2,4,5000.0,0.5,7.0
9000013041,1,1,11,1,2,1,4926.86252946515,1,1,5000.0,1.0,11.0
9000013042,2,2,11,1,1,1,7516.38799787129,2,3,70020.0,1.0,5.5
9000013043,1,1,6,1,1,2,4110.97235430874,1,1,8000.0,1.0,6.0
9000013044,2,2,7,1,3,3,4497.9897090259,2,2,3500.0,1.0,3.5
9000013045,2,1,6,1,3,3,5040.96139158237,1,2,6000.0,0.5,6.0
9000013046,2,2,10,1,1,2,6834.42001256054,2,2,14500.0,1.0,5.0
9000013048,1,0,2,2,3,3,49984.8758292141,0,1,0.0,0.0,2.0
9000013068,2,2,10,4,1,1,7381.07130681442,2,5,32200.0,1.0,5.0
9000013081,2,3,6,4,1,2,9460.87688695166,2,2,20000.0,1.5,2.0
9000013083,2,2,7,4,1,2,6779.75251426605,2,2,24000.0,1.0,3.5
9000013086,2,2,6,1,1,2,11306.96634211,2,2,13000.0,1.0,3.0
9000013099,2,2,11,1,1,1,6213.58789592702,2,2,21857.0,1.0,5.5
9000013104,3,3,6,1,3,1,37437.7350568741,3,3,50.0,1.0,2.0
9000013122,3,2,11,4,1,1,17018.9645233296,3,3,21000.0,0.6666666666666666,5.5
9000013145,1,1,6,1,1,2,17367.5578191942,1,1,5000.0,1.0,6.0
9000013148,2,2,6,4,1,1,4216.66851741864,2,2,18000.0,1.0,3.0
9000013158,2,2,5,4,1,2,8483.13042034749,2,2,1500.0,1.0,2.5
9000013164,8,1,5,1,3,3,7624.43580599674,2,8,800.0,0.125,5.0
9000013165,1,3,5,1,3,3,15925.872905701,1,1,17000.0,3.0,1.6666666666666667
9000013167,3,2,8,1,3,1,8463.30747576193,3,4,620.0,0.6666666666666666,4.0
9000013183,2,2,7,1,1,1,21794.6357571467,2,6,27000.0,1.0,3.5
9000013206,1,1,4,1,3,3,24471.1189741347,1,3,9000.0,1.0,4.0
9000013216,1,1,9,1,1,1,4618.97664421603,1,1,8727.0,1.0,9.0
9000013237,2,2,11,4,3,1,45712.8643048857,2,2,18000.0,1.0,5.5
9000013246,1,1,11,2,1,1,10072.0905770095,1,1,20000.0,1.0,11.0
